"manifest_id","version","name","path","size","sha256_raw","sha256_lf_normalized","origin","local_relation","classification","remote_statement_evidence"
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623191021","superadmin_foundation_v1","packages/coelo_database/migrations/20260623191021_superadmin_foundation_v1.sql","43310","1ec51807d2a1f0bbd5cdf7ad11c7ec6d3089cd613319a5954f4d912f45c4edf3","f862ab4f73f2cf0844dc421eab08fa193d3aecb8abcb36d5975f170e96b6e4c0","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623191021","superadmin_foundation_v1","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260623191021_superadmin_foundation_v1.sql","42282","f862ab4f73f2cf0844dc421eab08fa193d3aecb8abcb36d5975f170e96b6e4c0","f862ab4f73f2cf0844dc421eab08fa193d3aecb8abcb36d5975f170e96b6e4c0","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623191021","superadmin_foundation_v1","remote://supabase_migrations/schema_migrations/20260623191021",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623203230","schema_boundaries_catalog_v1","packages/coelo_database/migrations/20260623203230_schema_boundaries_catalog_v1.sql","17976","a8985d8a1fd005c9de23ea08c8da916703c908dc891141599445bf3d0f86d1be","2c48032576eb5fc86d3a41cba5e91c2762b331f0ae87d10687d5c6415f2842d6","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623203230","schema_boundaries_catalog_v1","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260623203230_schema_boundaries_catalog_v1.sql","17632","2c48032576eb5fc86d3a41cba5e91c2762b331f0ae87d10687d5c6415f2842d6","2c48032576eb5fc86d3a41cba5e91c2762b331f0ae87d10687d5c6415f2842d6","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260623203230","schema_boundaries_catalog_v1","remote://supabase_migrations/schema_migrations/20260623203230",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260717151609","institution_directory_foundation","packages/coelo_database/migrations/20260717151609_institution_directory_foundation.sql","12236","c64e43c80f5994f99e66455f5a0572d18d99ecf7731eedfaebb423619ff849f5","cbfc4e0feaaa933855c9390ba7b19bb11f6dc1f83e59e61b44670633ef9b8a4e","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260717151609","institution_directory_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260717151609_institution_directory_foundation.sql","11922","cbfc4e0feaaa933855c9390ba7b19bb11f6dc1f83e59e61b44670633ef9b8a4e","cbfc4e0feaaa933855c9390ba7b19bb11f6dc1f83e59e61b44670633ef9b8a4e","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260717151609","institution_directory_foundation","remote://supabase_migrations/schema_migrations/20260717151609",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720103023","institution_contact_directory_refinement","packages/coelo_database/migrations/20260720103023_institution_contact_directory_refinement.sql","9376","971f61cdcdbba5fcb077d323d823b76ba7d3c7b56fc3f1da97fc9eebef993716","43794cf0e457aa5e9112f0369a78acf8d34d7f1a2b67f89eab9f75b9e1330d53","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720103023","institution_contact_directory_refinement","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260720103023_institution_contact_directory_refinement.sql","9079","43794cf0e457aa5e9112f0369a78acf8d34d7f1a2b67f89eab9f75b9e1330d53","43794cf0e457aa5e9112f0369a78acf8d34d7f1a2b67f89eab9f75b9e1330d53","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720103023","institution_contact_directory_refinement","remote://supabase_migrations/schema_migrations/20260720103023",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720180000","people_context_foundation","packages/coelo_database/migrations/20260720180000_people_context_foundation.sql","29925","b2d6ee36c1b75961c057230ff8879bb7979ce417aab0d9662f028c22471b300d","55be4e1899362a6d803fb306459319db2fab1f37ba1e66df8d3e4e5586bf79bf","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720180000","people_context_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260720180000_people_context_foundation.sql","29167","55be4e1899362a6d803fb306459319db2fab1f37ba1e66df8d3e4e5586bf79bf","55be4e1899362a6d803fb306459319db2fab1f37ba1e66df8d3e4e5586bf79bf","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720180000","people_context_foundation","remote://supabase_migrations/schema_migrations/20260720180000",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","packages/coelo_database/migrations/20260720190000_people_context_advisor_hardening.sql","1705","916696126dddd0b64aa4d8fcf484c8fe26b7191c48f990e7c51a5cdbbcdf893a","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260720190000_people_context_advisor_hardening.sql","1661","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","remote://supabase_migrations/schema_migrations/20260720190000",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
